,From,,,,,,,,,,,,,,,,,,,,To,,,,,,,,,,,,,,,,,,
,,,,,,,Sidewalk N-W,Bike Lane N-W,Road N,,,Bike Lane N-E,Sidewalk N-E,,,,,,,,,,,,,,Sidewalk N-W,Bike Lane N-W,Road N,,,Bike Lane N-E,Sidewalk N-E,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.10438413361169102,6.2630480167014616E-3,0,,,8.350730688935281E-3,8.1419624217118999E-2,,,,,,,,,,,,,,0.11983471074380166,2.2727272727272728E-2,0,,,1.6528925619834711E-2,9.5041322314049589E-2,,,,,,
,,,,,,,50,3,0,,,4,39,,,,,,,,,,,,,,58,11,0,,,8,46,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sidewalk W-N,5.0104384133611693E-2,24,,,,,,,,,,,,,,27,5.6367432150313153E-2,Sidewalk E-N,,Sidewalk W-N,6.8181818181818177E-2,33,,,,,,,,,,,,,,42,8.6776859504132234E-2,Sidewalk E-N
,Bikeway W,5.2192066805845511E-2,25,,,,,,,,,,,,,,46,9.6033402922755737E-2,Bikeway E,,Bikeway W,6.1983471074380167E-2,30,,,,,,,,,,,,,,54,0.1115702479338843,Bikeway E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Road W,2.0876826722338203E-3,1,,,,,,,,,,,,,,2,4.1753653444676405E-3,Road E,,Road W,8.2644628099173556E-3,4,,,,,,,,,,,,,,1,2.0661157024793389E-3,Road E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sidewalk W-S,5.0104384133611693E-2,24,,,,,,,,,,,,,,15,3.1315240083507306E-2,Trail E-S,,Sidewalk W-S,2.2727272727272728E-2,11,,,,,,,,,,,,,,36,7.43801652892562E-2,Trail E-S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,191,0,2,,,4,22,,,,,,,,,,,,,,135,2,0,,,3,10,,,,,,
,,,,,,,0.39874739039665968,0,4.1753653444676405E-3,,,8.350730688935281E-3,4.5929018789144051E-2,,,,,,,,,,,,,,0.27892561983471076,4.1322314049586778E-3,0,,,6.1983471074380167E-3,2.0661157024793389E-2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sidewalk S-W,Bike Lane S-W,Road S,,,Bike Lane S-E,Sidewalk S-E,,,,,,,,,,,,,,Sidewalk S-W,Bike Lane S-W,Road S,,,Bike Lane S-E,Sidewalk S-E,,,,,,
