,15-Minute Intervals,,,,,,,1-Hour Intervals,,,,,
,Time,Pedestrian,Bike,Scooter,Other,15-min Total,,Time,Pedestrian,Bike,Scooter,Other,Hourly Total
,1899-12-30,0,0,0,0,0,,1899-12-30,0,0,0,0,0
,1899-12-30 00:15,0,0,0,0,0,,1899-12-30 01:00,0,1,0,0,1
,1899-12-30 00:30,0,0,0,0,0,,1899-12-30 02:00,0,0,0,0,0
,1899-12-30 00:45,0,0,0,0,0,,1899-12-30 03:00,0,0,0,0,0
,1899-12-30 01:00,0,1,0,0,1,,1899-12-30 04:00,1,0,0,0,1
,1899-12-30 01:15,0,0,0,0,0,,1899-12-30 05:00,4,0,0,0,4
,1899-12-30 01:30,0,0,0,0,0,,1899-12-30 06:00,16,2,0,0,18
,1899-12-30 01:45,0,0,0,0,0,,1899-12-30 07:00,15,0,0,0,15
,1899-12-30 02:00,0,0,0,0,0,,1899-12-30 08:00,26,29,15,1,71
,1899-12-30 02:15,0,0,0,0,0,,1899-12-30 09:00,27,23,12,0,62
,1899-12-30 02:30,0,0,0,0,0,,1899-12-30 10:00,4,0,0,0,4
,1899-12-30 02:45,0,0,0,0,0,,1899-12-30 11:00,5,2,1,0,8
,1899-12-30 03:00,0,0,0,0,0,,1899-12-30 12:00,1,1,1,0,3
,1899-12-30 03:15,0,0,0,0,0,,1899-12-30 13:00,3,1,1,0,5
,1899-12-30 03:30,0,0,0,0,0,,1899-12-30 14:00,10,1,4,0,15
,1899-12-30 03:45,0,0,0,0,0,,1899-12-30 15:00,106,63,44,0,213
,1899-12-30 04:00,0,0,0,0,0,,1899-12-30 16:00,6,5,0,0,11
,1899-12-30 04:15,0,0,0,0,0,,1899-12-30 17:00,11,4,2,1,18
,1899-12-30 04:30,1,0,0,0,1,,1899-12-30 18:00,6,2,0,0,8
,1899-12-30 04:45,0,0,0,0,0,,1899-12-30 19:00,10,2,0,0,12
,1899-12-30 05:00,0,0,0,0,0,,1899-12-30 20:00,0,2,0,0,2
,1899-12-30 05:15,0,0,0,0,0,,1899-12-30 21:00,4,1,0,0,5
,1899-12-30 05:30,0,0,0,0,0,,1899-12-30 22:00,1,2,0,0,3
,1899-12-30 05:45,4,0,0,0,4,,1899-12-30 23:00,0,0,0,0,0
,1899-12-30 06:00,1,0,0,0,1,,Total,256,141,80,2,479
,1899-12-30 06:15,6,2,0,0,8,,,,,,,
,1899-12-30 06:30,7,0,0,0,7,,,,,,,
,1899-12-30 06:45,2,0,0,0,2,,,,,,,
,1899-12-30 07:00,7,0,0,0,7,,,,,,,
,1899-12-30 07:15,1,0,0,0,1,,,,,,,
,1899-12-30 07:30,6,0,0,0,6,,,,,,,
,1899-12-30 07:45,1,0,0,0,1,,,,,,,
,1899-12-30 08:00,2,0,0,0,2,,,,,,,
,1899-12-30 08:15,3,0,0,0,3,,,,,,,
,1899-12-30 08:30,4,2,1,1,8,,,,,,,
,1899-12-30 08:45,17,27,14,0,58,,,,,,,
,1899-12-30 09:00,22,22,12,0,56,,,,,,,
,1899-12-30 09:15,1,0,0,0,1,,,,,,,
,1899-12-30 09:30,1,1,0,0,2,,,,,,,
,1899-12-30 09:45,3,0,0,0,3,,,,,,,
,1899-12-30 10:00,1,0,0,0,1,,,,,,,
,1899-12-30 10:15,2,0,0,0,2,,,,,,,
,1899-12-30 10:30,1,0,0,0,1,,,,,,,
,1899-12-30 10:45,0,0,0,0,0,,,,,,,
,1899-12-30 11:00,1,0,0,0,1,,,,,,,
,1899-12-30 11:15,1,1,0,0,2,,,,,,,
,1899-12-30 11:30,0,1,0,0,1,,,,,,,
,1899-12-30 11:45,3,0,1,0,4,,,,,,,
,1899-12-30 12:00,1,0,0,0,1,,,,,,,
,1899-12-30 12:15,0,0,1,0,1,,,,,,,
,1899-12-30 12:30,0,0,0,0,0,,,,,,,
,1899-12-30 12:45,0,1,0,0,1,,,,,,,
,1899-12-30 13:00,3,1,0,0,4,,,,,,,
,1899-12-30 13:15,0,0,0,0,0,,,,,,,
,1899-12-30 13:30,0,0,0,0,0,,,,,,,
,1899-12-30 13:45,0,0,1,0,1,,,,,,,
,1899-12-30 14:00,5,1,0,0,6,,,,,,,
,1899-12-30 14:15,0,0,0,0,0,,,,,,,
,1899-12-30 14:30,0,0,0,0,0,,,,,,,
,1899-12-30 14:45,5,0,4,0,9,,,,,,,
,1899-12-30 15:00,5,4,0,0,9,,,,,,,
,1899-12-30 15:15,5,7,2,0,14,,,,,,,
,1899-12-30 15:30,91,52,42,0,185,,,,,,,
,1899-12-30 15:45,5,0,0,0,5,,,,,,,
,1899-12-30 16:00,0,0,0,0,0,,,,,,,
,1899-12-30 16:15,2,2,0,0,4,,,,,,,
,1899-12-30 16:30,1,2,0,0,3,,,,,,,
,1899-12-30 16:45,3,1,0,0,4,,,,,,,
,1899-12-30 17:00,1,1,0,0,2,,,,,,,
,1899-12-30 17:15,6,2,0,1,9,,,,,,,
,1899-12-30 17:30,3,0,2,0,5,,,,,,,
,1899-12-30 17:45,1,1,0,0,2,,,,,,,
,1899-12-30 18:00,2,2,0,0,4,,,,,,,
,1899-12-30 18:15,0,0,0,0,0,,,,,,,
,1899-12-30 18:30,1,0,0,0,1,,,,,,,
,1899-12-30 18:45,3,0,0,0,3,,,,,,,
,1899-12-30 19:00,0,0,0,0,0,,,,,,,
,1899-12-30 19:15,4,0,0,0,4,,,,,,,
,1899-12-30 19:30,2,0,0,0,2,,,,,,,
,1899-12-30 19:45,4,2,0,0,6,,,,,,,
,1899-12-30 20:00,0,2,0,0,2,,,,,,,
,1899-12-30 20:15,0,0,0,0,0,,,,,,,
,1899-12-30 20:30,0,0,0,0,0,,,,,,,
,1899-12-30 20:45,0,0,0,0,0,,,,,,,
,1899-12-30 21:00,0,0,0,0,0,,,,,,,
,1899-12-30 21:15,0,0,0,0,0,,,,,,,
,1899-12-30 21:30,0,1,0,0,1,,,,,,,
,1899-12-30 21:45,4,0,0,0,4,,,,,,,
,1899-12-30 22:00,0,2,0,0,2,,,,,,,
,1899-12-30 22:15,1,0,0,0,1,,,,,,,
,1899-12-30 22:30,0,0,0,0,0,,,,,,,
,1899-12-30 22:45,0,0,0,0,0,,,,,,,
,1899-12-30 23:00,0,0,0,0,0,,,,,,,
,1899-12-30 23:15,0,0,0,0,0,,,,,,,
,1899-12-30 23:30,0,0,0,0,0,,,,,,,
,1899-12-30 23:45,0,0,0,0,0,,,,,,,
,Total,256,141,80,2,479,,,,,,,
